company,job,type_of_job,level_,link_and_email,location
Acledabank,Credit Officer,Full Time,Entry Level,https://www.acledabank.com.kh/kh/eng/cr_position?d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,Phnom Penh
AIA,Pricing Assistant Manager,Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/Phnom-Penh-KH-AIA-Cambodia/Pricing-Supervisor_JR-32158?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
AIA,"Trainer, Kampot",Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/KH-Kampot/Trainer--Kampot_JR-16768?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
AIA,Finance Operation Executive,Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/Phnom-Penh-KH-AIA-Cambodia/Finance-Operation-Executive_JR-21027?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
Acledabank,Marketing Officer,Full Time,Entry Level,https://www.acledabank.com.kh/kh/eng/cr_position?4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,Phnom Penh
AIA,Actuarial (Valuation) Analyst,Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/Phnom-Penh-KH-AIA-Cambodia/Actuarial--Valuation--Analyst_JR-34191?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
Acledabank,Customer Service Assistant,Full Time,Entry Level,https://www.acledabank.com.kh/kh/eng/cr_position?5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,Phnom Penh
AIA,Regional Sales Manager,Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/Phnom-Penh-KH-AIA-Cambodia/Regional-Sales-Manager_JR-33558?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
Acledabank,Cleaner,Full Time,Entry Level,https://www.acledabank.com.kh/kh/eng/cr_position?670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,Phnom Penh
AIA,Hospital and Networking Manager,Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/Phnom-Penh-KH-AIA-Cambodia/Hospital-and-Networking-Manager_JR-32375?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
Acledabank,IT Programmer,Full Time,Entry Level,https://www.acledabank.com.kh/kh/eng/cr_position?2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,Phnom Penh
AIA,Pricing Assistant Manager,Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/Phnom-Penh-KH-AIA-Cambodia/Pricing-Supervisor_JR-32158?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
Acledabank,Information Security Staff,Full Time,Entry Level,https://www.acledabank.com.kh/kh/eng/cr_position?c837649cce43f2729138e72cc315207057ac82599a59be72765a477f22d14a54,Phnom Penh
AIA,Product Development Supervisor,Full Time,Mid-Senior Level,https://aia.wd3.myworkdayjobs.com/en-US/external/job/Phnom-Penh-KH-AIA-Cambodia/Product-Development-Supervisor_JR-31513?locationCountry=db69bf9c446c11de98360015c5e6daf6,Phnom Penh
